stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,3,3,9,479,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.981896,-0.018104,0.999422,14.554960,0.522156,1,FIT_QUALITY,41.160122,6.544871,
gain,calibration,3,3,10,480,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.017362,0.017362,0.999904,8.531765,0.608228,1,FIT_QUALITY,41.641640,6.624857,
gain,calibration,3,3,11,481,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.003688,0.003688,0.999768,9.005214,0.568719,1,FIT_QUALITY,42.529755,6.772385,
gain,calibration,3,3,12,482,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.975001,-0.024999,0.999278,16.266941,0.479038,1,FIT_QUALITY,42.151550,6.709560,
gain,calibration,3,3,13,483,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.001651,0.001651,0.999806,11.760701,0.465778,1,FIT_QUALITY,41.105453,6.535790,
gain,calibration,3,3,14,484,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.014839,0.014839,0.999898,6.222459,0.397636,1,NONE,41.913982,6.670097,
gain,calibration,3,3,15,485,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.000885,0.000885,0.999771,9.789136,0.521204,1,FIT_QUALITY,42.478275,6.763834,
gain,calibration,3,3,16,486,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.997839,-0.002161,0.999786,10.542653,0.474115,1,FIT_QUALITY,41.595486,6.617191,
gain,calibration,3,3,17,487,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.010532,0.010532,0.999792,8.396708,0.679854,1,FIT_QUALITY,41.720226,6.637912,
gain,calibration,3,3,18,488,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.969063,-0.030937,0.999241,15.899889,0.452407,1,FIT_QUALITY,41.968868,6.679214,
gain,calibration,3,3,19,489,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.012454,0.012454,0.999880,8.916753,0.404085,1,FIT_QUALITY,41.535633,6.607248,
gain,calibration,3,3,20,490,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.945125,-0.054875,0.998470,21.241318,0.382524,1,FIT_QUALITY,40.772953,6.480557,
gain,calibration,3,3,21,491,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.008781,0.008781,0.999905,6.029038,0.425749,1,FIT_QUALITY,41.889145,6.665971,
gain,calibration,3,3,22,492,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.009221,0.009221,0.999889,6.114664,0.465031,1,FIT_QUALITY,41.954956,6.676903,
gain,calibration,3,3,23,493,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.970884,-0.029116,0.999045,17.835339,0.441998,1,FIT_QUALITY,40.992012,6.516946,
gain,calibration,3,3,24,494,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.000605,0.000605,0.999742,11.100388,0.473681,1,FIT_QUALITY,41.439587,6.591294,
gain,calibration,3,3,25,495,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.988865,-0.011135,0.999698,12.383585,0.454597,1,FIT_QUALITY,42.116932,6.703810,
gain,calibration,3,3,26,496,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.965061,-0.034939,0.998816,19.931705,0.599779,1,FIT_QUALITY,41.901199,6.667974,
gain,calibration,3,3,27,497,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.988673,-0.011327,0.999753,10.696050,0.359089,1,FIT_QUALITY,41.706566,6.635643,
gain,calibration,3,3,28,498,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.955309,-0.044691,0.998613,20.806120,0.643889,1,FIT_QUALITY,41.136646,6.540971,
gain,calibration,3,3,29,499,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.997372,-0.002628,0.999790,9.134381,0.616050,1,FIT_QUALITY,40.927444,6.506220,
gain,calibration,3,3,30,500,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.992353,-0.007647,0.999695,10.115792,0.741641,1,FIT_QUALITY,42.107613,6.702261,
