sample_index,adc_code,ifc_vpp,sweep_index
374,172,2.04,1
375,-139,2.04,1
376,99,2.04,1
377,-40,2.04,1
378,155,2.04,1
379,-49,2.04,1
380,106,2.04,1
381,-148,2.04,1
382,356,2.04,1
383,-71,2.04,1
384,101,2.04,1
385,-93,2.04,1
386,122,2.04,1
387,-61,2.04,1
388,70,2.04,1
389,-117,2.04,1
390,84,2.04,1
391,-81,2.04,1
392,160,2.04,1
393,-151,2.04,1
394,221,2.04,1
395,-76,2.04,1
396,205,2.04,1
397,32,2.04,1
398,205,2.04,1
399,-62,2.04,1
400,200,2.04,1
401,-169,2.04,1
402,27,2.04,1
403,-164,2.04,1
404,226,2.04,1
405,-73,2.04,1
406,121,2.04,1
407,-87,2.04,1
408,209,2.04,1
409,-6,2.04,1
410,200,2.04,1
411,-19,2.04,1
412,223,2.04,1
413,-15,2.04,1
414,110,2.04,1
415,-72,2.04,1
416,174,2.04,1
417,-120,2.04,1
418,147,2.04,1
419,-129,2.04,1
420,280,2.04,1
421,-53,2.04,1
422,74,2.04,1
423,-21,2.04,1
424,177,2.04,1
425,-110,2.04,1
426,173,2.04,1
427,-40,2.04,1
428,82,2.04,1
429,-142,2.04,1
430,12,2.04,1
431,-105,2.04,1
432,852,2.04,1
433,-22,2.04,1
434,311,2.04,1
435,-64,2.04,1
436,150,2.04,1
437,35,2.04,1
438,192,2.04,1
439,-148,2.04,1
440,59,2.04,1
441,-101,2.04,1
442,145,2.04,1
443,-185,2.04,1
444,61,2.04,1
445,-225,2.04,1
446,224,2.04,1
447,-13,2.04,1
448,180,2.04,1
449,-99,2.04,1
450,192,2.04,1
451,-33,2.04,1
452,152,2.04,1
453,-124,2.04,1
454,99,2.04,1
455,-141,2.04,1
456,191,2.04,1
457,-167,2.04,1
458,65,2.04,1
459,-46,2.04,1
460,892,2.04,1
461,16,2.04,1
462,195,2.04,1
463,-143,2.04,1
464,303,2.04,1
465,-59,2.04,1
466,118,2.04,1
467,-120,2.04,1
468,9,2.04,1
469,-172,2.04,1
470,152,2.04,1
471,-251,2.04,1
472,162,2.04,1
473,40,2.04,1
474,376,2.04,1
475,-68,2.04,1
476,136,2.04,1
477,-33,2.04,1
478,155,2.04,1
479,-119,2.04,1
480,119,2.04,1
481,-154,2.04,1
482,76,2.04,1
483,-42,2.04,1
484,111,2.04,1
485,-46,2.04,1
486,126,2.04,1
487,-37,2.04,1
488,173,2.04,1
489,-98,2.04,1
490,107,2.04,1
491,-46,2.04,1
492,138,2.04,1
493,-115,2.04,1
494,90,2.04,1
495,-63,2.04,1
496,178,2.04,1
497,-135,2.04,1
498,101,2.04,1
499,-96,2.04,1
500,253,2.04,1
501,-33,2.04,1
502,145,2.04,1
503,4,2.04,1
504,104,2.04,1
505,-174,2.04,1
506,195,2.04,1
507,-173,2.04,1
508,28,2.04,1
509,-160,2.04,1
510,200,2.04,1
511,-86,2.04,1
512,175,2.04,1
513,-1,2.04,1
514,185,2.04,1
515,-62,2.04,1
516,175,2.04,1
517,-44,2.04,1
518,2,2.04,1
519,-12,2.04,1
520,118,2.04,1
521,-174,2.04,1
522,198,2.04,1
523,-140,2.04,1
524,146,2.04,1
525,-206,2.04,1
526,236,2.04,1
527,-6,2.04,1
528,271,2.04,1
529,-95,2.04,1
530,176,2.04,1
531,-144,2.04,1
532,87,2.04,1
533,-44,2.04,1
534,85,2.04,1
535,-179,2.04,1
536,208,2.04,1
537,-55,2.04,1
538,167,2.04,1
539,-116,2.04,1
540,249,2.04,1
541,5,2.04,1
542,242,2.04,1
543,-84,2.04,1
544,101,2.04,1
545,-153,2.04,1
546,104,2.04,1
547,-153,2.04,1
548,40,2.04,1
549,-41,2.04,1
550,234,2.04,1
551,-89,2.04,1
